Origem,Data protocolo,Tipo de Tecnologia,Tema da Saúde,Demandante,Nome da tecnologia,Status,Indicação,Motivo da solicitação,Data decisão
Interna,2012-01-01,Medicamento,Reumatologia,Secretaria de Estado de Saúde de Minas Gerais  SES/MG,Adalimumabe,Processo encerrado: decisão de não incorporação no SUS,Tratamento da psoríase moderada a grave em adultos,Incorporação,2012-10-05
Interna,2012-01-01,Medicamento,Reumatologia,Secretaria de Estado de Saúde de Minas Gerais  SES/MG,Etanercepte,Processo encerrado: decisão de não incorporação no SUS,Tratamento da psoríase moderada a grave em adultos,Incorporação,2012-10-05
Interna,2012-01-01,Medicamento,Reumatologia,Secretaria de Estado de Saúde de Minas Gerais  SES/MG,Infliximabe,Processo encerrado: decisão de não incorporação no SUS,Tratamento da psoríase moderada a grave em adultos,Incorporação,2012-10-05
Interna,2012-01-01,Medicamento,Reumatologia,Secretaria de Estado de Saúde de Minas Gerais  SES/MG,Ustequinumabe,Processo encerrado: decisão de não incorporação no SUS,Tratamento da psoríase moderada a grave em adultos,Incorporação,2012-10-05
Interna,2012-03-05,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Telaprevir,Processo encerrado: decisão de incorporação no SUS,Tratamento da Hepatite crônica C,Incorporação,2012-07-26
Interna,2012-03-05,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Boceprevir,Processo encerrado: decisão de incorporação no SUS,Tratamento da Hepatite crônica C,Incorporação,2012-07-26
Interna,2012-05-10,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Sildenafila,Processo encerrado: decisão de incorporação no SUS,Tratamento do fenômeno de Raynaud na esclerose sistêmica,Incorporação,2012-10-04
Interna,2012-05-10,Medicamento,Nefrologia,Secretaria de Atenção à Saúde  SAS/MS,Tacrolimo,Processo encerrado: decisão de incorporação no SUS,Tratamento da síndrome nefrótica primária,Incorporação,2012-10-04
Interna,2012-05-10,Medicamento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Trastuzumabe,Processo encerrado: decisão de incorporação no SUS,Tratamento do câncer de mama avançado,Incorporação,2012-07-26
Interna,2012-05-10,Medicamento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Trastuzumabe,Processo encerrado: decisão de incorporação no SUS,Tratamento do câncer de mama inicial,Incorporação,2012-07-26
Interna,2012-06-01,Medicamento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Biotina,Processo encerrado: decisão de incorporação no SUS,Tratamento da deficiência de biotinidase,Incorporação,2012-10-04
Interna,2012-06-01,Procedimento,Ginecologia/Urologia,Secretaria de Atenção à Saúde  SAS/MS,Mastectomia Simples bilateral em usuário sob processo transexualizador,Processo encerrado: decisão de incorporação no SUS,Processo transexualizador,Incorporação,2014-05-16
